english;czech
alloy;slitina
property;vlastnost
storey;patro
safety harness;bezpečnostní postroj
carpentry;tesařství
plywood;překližka
girder;nosník
prefabricated;prefabrikovaný
soundproof;zvukotěsný
smoke detector;detektor kouře
household appliance;domácí spotřebič
semiconductor;polovodič
parabolic antenna;parabolická anténa
charge;nabíjet
antenna;anténa
generate;vyrábět elektřinu
electronic tagging;elektronické sledování
motion sensor;pohybový senzor
adapter;adaptér
accelerator;plynový pedál
takeoff;vzlet
congestion;dopravní zácpa
orbit;oběžná dráha
exploration;průzkum
traffic;doprava
unmanned;bez posádky
valve;ventil
throttle;škrticí klapka
hybrid;hybridní
liquefied;zkapalněný
decking;terasové desky
ram;píst
off-site;mimo pracoviště
laminate;laminát
pile;pilot
structure;konstrukce
broadband;širokopásmové připojení
coil;cívka
exhaust gas;výfukový plyn
satellite;satelit
thrust;tah
delay;zpoždění
compatible;kompatibilní
customized;přizpůsobené
experiment;experimentovat
investigate;zkoumat
affect;ovlivnit
complex;složitý
portable;přenosný
calculate;vypočítat
colour-blind;barvoslepý
report;podat zprávu
describe;popsat
blurred vision;rozmazané vidění
processor;procesor
image;obrázek
screen;obrazovka
smart;chytrý
peripheral;periferní zařízení
network;síť
compress;komprimovat
qualification;kvalifikace
pollution;znečištění
process;proces
training;školení
recognition;rozpoznání
requirement;požadavek
trend;trend
convert;převést
mass-produce;hromadně vyrábět
incapacitate;vyřadit
present;prezentovat
detect;odhalit
interact;interagovat
hotspot;wi-fi hotspot
chip;čip
voice-activated;ovládaný hlasem
router;směrovač
simulated;simulovaný
hard disk;pevný disk
cat;kočka
